sub_module,layer_idx,channel,gamma_llm,gamma_vlm,abs_delta,rel_delta
q_norm,0,0,1.296875,1.3125,0.015625,0.012048192322254181
q_norm,0,1,1.1953125,1.2265625,0.03125,0.026143791154026985
q_norm,0,2,1.828125,1.8515625,0.0234375,0.012820512987673283
q_norm,0,3,1.734375,1.765625,0.03125,0.018018018454313278
q_norm,0,4,1.640625,1.671875,0.03125,0.01904761977493763
q_norm,0,5,1.7265625,1.7578125,0.03125,0.018099548295140266
q_norm,0,6,1.7421875,1.78125,0.0390625,0.022421523928642273
q_norm,0,7,1.71875,1.7578125,0.0390625,0.022727273404598236
q_norm,0,8,1.890625,1.9296875,0.0390625,0.020661156624555588
q_norm,0,9,1.7734375,1.84375,0.0703125,0.039647575467824936
q_norm,0,10,1.6484375,1.6640625,0.015625,0.009478673338890076
q_norm,0,11,1.7890625,1.8203125,0.03125,0.017467249184846878
q_norm,0,12,1.9609375,1.984375,0.0234375,0.011952191591262817
q_norm,0,13,2.578125,2.65625,0.078125,0.03030303120613098
q_norm,0,14,1.90625,1.9453125,0.0390625,0.02049180306494236
q_norm,0,15,1.8671875,1.8984375,0.03125,0.016736401244997978
q_norm,0,16,1.8125,1.84375,0.03125,0.017241379246115685
q_norm,0,17,2.609375,2.765625,0.15625,0.05988023802638054
q_norm,0,18,1.8125,1.8515625,0.0390625,0.021551724523305893
q_norm,0,19,1.796875,1.8359375,0.0390625,0.021739130839705467
q_norm,0,20,1.7421875,1.7734375,0.03125,0.017937220633029938
q_norm,0,21,2.484375,2.609375,0.125,0.050314463675022125
q_norm,0,22,1.8359375,1.8671875,0.03125,0.01702127605676651
q_norm,0,23,1.8125,1.8671875,0.0546875,0.03017241321504116
q_norm,0,24,1.9609375,2.0,0.0390625,0.019920319318771362
q_norm,0,25,1.84375,1.8828125,0.0390625,0.02118644118309021
q_norm,0,26,1.46875,1.5,0.03125,0.021276595070958138
q_norm,0,27,1.828125,1.9375,0.109375,0.05982905998826027
q_norm,0,28,1.765625,1.796875,0.03125,0.017699114978313446
q_norm,0,29,1.734375,1.7734375,0.0390625,0.022522522136569023
