layer_idx,n_obs,T_mean,T_median,T_p25,T_p75,T_p95,sink_mass_median,sink_mass_mean,frac_sink_at_bos
0,10432,2.0981294536394355,0.9064522828738671,0.3136575588550416,2.717946848566992,8.483046257658447,0.5234375,0.5755833350807611,0.020034509202453987
1,10432,1.1658970050712374,0.7482069577429727,0.31015492830383945,1.623043564489879,3.696987781590122,0.462890625,0.5147967192292945,0.0415069018404908
2,10432,0.8471213520732201,0.5638720576376989,0.2486129902509081,1.1248499188849668,2.59588515775005,0.4140625,0.4621842741234902,0.2569976993865031
3,10432,0.8217955548585868,0.5622745948071122,0.24801681605934947,1.0630673512486983,2.529419697013071,0.484375,0.49456244158598545,0.2374424846625767
4,10432,0.8939256178756666,0.5928348843952278,0.24772376015017752,1.1911522865838176,2.6432502078752944,0.47265625,0.4944552556137366,0.23734662576687116
5,10432,0.9661974262486993,0.6552379268333055,0.299744944901056,1.2199120755438968,3.200537242095076,0.4609375,0.4958375802069354,0.17206671779141106
6,10432,0.9365940065933048,0.5927482140326106,0.24832712210117075,1.221881524276197,3.092063382492423,0.404296875,0.45732406897047545,0.06949769938650306
7,10432,3.235147898234229,2.9036238172720554,1.438880596904967,4.562356105894902,7.499915507658441,0.8984375,0.8125383810031633,0.9000191717791411
8,10432,2.8617347393502737,2.77766490797179,1.56108761332255,3.972386155155237,5.748902909936671,0.86328125,0.7958751280614935,0.9132476993865031
9,10432,3.538141301229914,3.247564729463425,1.6457836392385492,5.061488362148572,7.907106241734075,0.91796875,0.8163853276726658,0.8955138036809815
10,10432,2.35308789325064,2.27915484118566,1.1911434331487307,3.4201636300522713,4.749862089360764,0.79296875,0.7524026507980253,0.9087423312883436
11,10432,2.174240116035663,1.9705871367677539,0.9075570519054004,3.09003942538697,5.018492653006616,0.75,0.7121442081006758,0.8562116564417178
12,10432,2.356689928062622,2.186944671020534,1.0012950836040173,3.487030450703564,5.188060910794104,0.7890625,0.7267099860255704,0.8142254601226994
13,10431,2.922651398874706,2.3758572941003715,1.3456103166625881,3.746746836434485,7.5350068274697115,0.8203125,0.76668254481833,0.9190873358259035
14,10432,1.7338423081322905,1.5885698071122714,0.6883909088028325,2.623089902494393,3.8134996292040415,0.66796875,0.6506980474741181,0.8035851226993865
15,10432,2.1011438149144115,2.000773843732447,0.99590919056289,3.0346269706186786,4.499315721196981,0.734375,0.7009538053734902,0.8731786809815951
16,10432,2.278594883270259,2.1886408336448278,1.2517960078609534,3.0656423451261956,4.7478482468643755,0.75,0.7127477727784701,0.9100843558282209
17,10432,1.9527556868633662,1.8760518395533823,0.8723362481613973,2.8733460743714216,4.250232861947899,0.703125,0.6657000582642351,0.8753834355828221
18,10432,1.9163451623879069,1.8759228239417776,0.9361789792739875,2.7875431611502606,3.9062200372074725,0.69140625,0.6557067683869344,0.8926380368098159
19,10432,2.2931021007935692,2.3084502124464437,1.3784511836588647,3.0617212043655773,4.3759475885975,0.77734375,0.7248208449662097,0.9273389570552147
20,10432,2.6368525860551366,2.3757073578230083,1.3113313226464354,3.6220328749612123,5.688278288120236,0.796875,0.74249960308426,0.9131518404907976
21,10432,2.297428467030605,2.254492923489921,1.1913759382824012,3.2474823367797088,4.564348191467836,0.763671875,0.7223467680574195,0.9238880368098159
22,10432,2.405942911524278,2.128231705849268,1.0638784319284282,3.31349180124305,5.68676937085007,0.765625,0.7208187360705042,0.8648389570552147
23,10432,2.278818074407166,2.310599136307184,1.12623842510805,3.307374436566912,4.528841503010926,0.796875,0.7356382498711896,0.8847776073619632
24,10432,3.149854582140424,3.1230716959305926,2.06640823296987,4.122661819925353,5.844036141885274,0.90234375,0.8354102760736196,0.9590682515337423
25,10432,3.0981359354443745,3.1255758930993287,2.0017325573525198,4.1588830833596715,5.561177785826003,0.91015625,0.8459045784605062,0.9662576687116564
26,10432,3.6053909986632457,3.687785829524691,2.5609621182826596,4.684365864925636,6.151967056507297,0.9453125,0.8824962779788151,0.9668328220858896
27,10432,3.2701010122674106,3.2165791608100642,2.1240918154175747,4.373994462976618,5.935017234684646,0.9140625,0.855994476131135,0.970954754601227
28,10432,2.863409018305047,2.8434147748083936,1.6872467704925682,3.9359436970221013,5.484554322148748,0.890625,0.8241931002564226,0.9557131901840491
29,10432,3.8111517338566494,3.8763819987081307,2.7821936634819235,4.907094728997566,6.404309762513769,0.95703125,0.8985804458337328,0.9686541411042945
30,10432,3.530128589043322,3.5606151409899702,2.2472548175496323,4.809470649500821,6.376910788325654,0.94140625,0.8750926760808091,0.9700920245398773
31,10432,3.377475783269083,3.4373938086195865,2.188860061750879,4.502552472199371,6.123596359378081,0.9296875,0.8666179633579372,0.9513995398773006
32,10432,3.296069584229907,3.2531744608160538,2.0897376939657795,4.498560450929833,6.0625604687917125,0.92578125,0.8576546417423553,0.9481403374233128
33,10432,3.488551093092472,3.5640292512344605,2.4956019389047484,4.560372043088197,5.997919507004961,0.9375,0.8802004387042274,0.9675996932515337
34,10432,2.8515314953704936,2.812154322445972,1.3162455163027713,4.187053960326368,5.809512152934352,0.89453125,0.8088743057719038,0.8881326687116564
35,10432,2.1313387633194925,1.9370212016380672,0.8742860051048505,3.226879945123418,4.749862089360764,0.765625,0.7186069605540644,0.776648773006135
