pair,key,layer_idx,rel_depth,sub_module,shape,fro_delta,sigma_1_delta,stable_rank_delta,effective_rank_top64_delta,top_align_with_W_LLM
qwen25,model.layers.0.mlp.down_proj.weight,0,0.0,mlp.down_proj,,76.11410522460938,5.04268217086792,227.82800110914727,58.49646872276283,0.09448832273483276
qwen25,model.layers.0.mlp.gate_proj.weight,0,0.0,mlp.gate_proj,,81.7832260131836,12.80039119720459,40.8208449979545,40.286399373352346,0.32902881503105164
qwen25,model.layers.0.mlp.up_proj.weight,0,0.0,mlp.up_proj,,79.73272705078125,4.944582939147949,260.02428117397005,60.083345434530045,0.005419015884399414
qwen25,model.layers.0.self_attn.k_proj.weight,0,0.0,self_attn.k_proj,,10.476998329162598,2.844822645187378,13.563237188953348,39.50643634094827,0.013435021042823792
qwen25,model.layers.0.self_attn.o_proj.weight,0,0.0,self_attn.o_proj,,24.030488967895508,2.5132246017456055,91.42450360741968,52.632050647061405,0.0014522384153679013
qwen25,model.layers.0.self_attn.q_proj.weight,0,0.0,self_attn.q_proj,,36.198326110839844,12.729987144470215,8.085763721046025,21.187345493855936,0.7971483469009399
qwen25,model.layers.0.self_attn.v_proj.weight,0,0.0,self_attn.v_proj,,5.708888053894043,0.6798837184906006,70.50724929949017,57.98962472918399,0.09970766305923462
qwen25,model.layers.1.mlp.down_proj.weight,1,0.037037037037037035,mlp.down_proj,,57.750831604003906,11.749979019165039,24.156961242364737,17.454607316844708,0.8973566293716431
qwen25,model.layers.1.mlp.gate_proj.weight,1,0.037037037037037035,mlp.gate_proj,,69.48869323730469,9.0807466506958,58.557856484497705,44.410486673877635,0.2143554985523224
qwen25,model.layers.1.mlp.up_proj.weight,1,0.037037037037037035,mlp.up_proj,,64.072265625,8.101877212524414,62.541579938525466,45.61927759190649,0.09505049884319305
qwen25,model.layers.1.self_attn.k_proj.weight,1,0.037037037037037035,self_attn.k_proj,,15.067134857177734,3.7007668018341064,16.575930292200912,48.02415442684499,0.09529795497655869
